Time,WOPR:INJ1,WOPR:PROD1,WOPR:PROD2,WOPR:PROD3,WOPR:PROD4,WWPR:INJ1,WWPR:PROD1,WWPR:PROD2,WWPR:PROD3,WWPR:PROD4,WLPR:INJ1,WLPR:PROD1,WLPR:PROD2,WLPR:PROD3,WLPR:PROD4,WGPR:INJ1,WGPR:PROD1,WGPR:PROD2,WGPR:PROD3,WGPR:PROD4,WWIR:INJ1,WWIR:PROD1,WWIR:PROD2,WWIR:PROD3,WWIR:PROD4,WGOR:INJ1,WGOR:PROD1,WGOR:PROD2,WGOR:PROD3,WGOR:PROD4,WBHP:INJ1,WBHP:PROD1,WBHP:PROD2,WBHP:PROD3,WBHP:PROD4,WOPT:INJ1,WOPT:PROD1,WOPT:PROD2,WOPT:PROD3,WOPT:PROD4,WWPT:INJ1,WWPT:PROD1,WWPT:PROD2,WWPT:PROD3,WWPT:PROD4,WLPT:INJ1,WLPT:PROD1,WLPT:PROD2,WLPT:PROD3,WLPT:PROD4,WGPT:INJ1,WGPT:PROD1,WGPT:PROD2,WGPT:PROD3,WGPT:PROD4,WWIT:INJ1,WWIT:PROD1,WWIT:PROD2,WWIT:PROD3,WWIT:PROD4,FOPT,FWPT,FLPT,FGPT,FWIT
2019-09-12,-0.0,10937.91015625,10937.7216796875,10929.1064453125,10937.6533203125,-0.0,4.482239091885276e-05,4.482239455683157e-05,4.482260919758119e-05,4.482239455683157e-05,-0.0,10937.91015625,10937.7216796875,10929.1064453125,10937.6533203125,-0.0,20914.25,20914.10546875,20890.013671875,20914.095703125,9894.4619140625,0.0,0.0,0.0,0.0,0.0,1.912088394165039,1.912108063697815,1.9114108085632324,1.9121190309524536,9014.0,1000.0,1000.0,1000.0,1000.0,0.0,154222.734375,154220.578125,154139.21875,154220.0625,0.0,0.0004582379769999534,0.00045823861728422344,0.00045825756387785077,0.00045823841355741024,0.0,154222.734375,154220.578125,154139.21875,154220.0625,0.0,271598.46875,271597.875,271526.1875,271598.3125,261528.59375,0.0,0.0,0.0,0.0,616802.625,0.0018329726299270988,616802.625,1086320.875,261528.59375
2019-09-13,-0.0,10865.9853515625,10865.802734375,10860.017578125,10865.7265625,-0.0,4.48200516984798e-05,4.482004442252219e-05,4.481944415601902e-05,4.482004078454338e-05,-0.0,10865.9853515625,10865.802734375,10860.017578125,10865.7265625,-0.0,20318.443359375,20318.310546875,20291.28515625,20318.30078125,8933.439453125,0.0,0.0,0.0,0.0,0.0,1.8699125051498413,1.8699318170547485,1.8684395551681519,1.8699439764022827,9014.0,1000.0,1000.0,1000.0,1000.0,0.0,165088.71875,165086.390625,164999.25,165085.78125,0.0,0.0005030580214224756,0.0005030586617067456,0.0005030769971199334,0.0005030584870837629,0.0,165088.71875,165086.390625,164999.25,165085.78125,0.0,291916.90625,291916.1875,291817.46875,291916.625,270462.03125,0.0,0.0,0.0,0.0,660260.125,0.0020122521091252565,660260.125,1167567.25,270462.03125
2019-09-14,-0.0,10813.6015625,10813.41015625,10810.7939453125,10813.3212890625,-0.0,4.4805674406234175e-05,4.480565621634014e-05,4.480449206312187e-05,4.4805648940382525e-05,-0.0,10813.6015625,10813.41015625,10810.7939453125,10813.3212890625,-0.0,19801.740234375,19801.623046875,19772.392578125,19801.61328125,8055.673828125,0.0,0.0,0.0,0.0,0.0,1.8311883211135864,1.8312097787857056,1.8289490938186646,1.831223964691162,9014.0,1000.0,1000.0,1000.0,1000.0,0.0,175902.328125,175899.796875,175810.03125,175899.109375,0.0,0.0005478637176565826,0.0005478643579408526,0.0005478814709931612,0.000547864125110209,0.0,175902.328125,175899.796875,175810.03125,175899.109375,0.0,311718.625,311717.8125,311589.875,311718.21875,278517.71875,0.0,0.0,0.0,0.0,703511.25,0.0021914737299084663,703511.25,1246744.5,278517.71875
2019-09-15,-0.0,10760.32421875,10760.126953125,10762.26953125,10760.0283203125,-0.0,4.4783570047002286e-05,4.478354821912944e-05,4.478206756175496e-05,4.478353730519302e-05,-0.0,10760.32421875,10760.1279296875,10762.26953125,10760.0283203125,-0.0,19364.279296875,19364.185546875,19330.8125,19364.181640625,7269.39990234375,0.0,0.0,0.0,0.0,0.0,1.7996001243591309,1.7996240854263306,1.7961652278900146,1.799640417098999,9014.0,1000.0,1000.0,1000.0,1000.0,0.0,186662.65625,186659.921875,186572.3125,186659.140625,0.0,0.0005926472949795425,0.0005926478770561516,0.0005926635349169374,0.000592647644225508,0.0,186662.65625,186659.921875,186572.3125,186659.140625,0.0,331082.90625,331082.0,330920.6875,331082.40625,285787.09375,0.0,0.0,0.0,0.0,746554.0,0.0023706064093858004,746554.0,1324168.0,285787.09375
2019-09-16,-0.0,10703.666015625,10703.4658203125,10709.576171875,10703.3583984375,-0.0,4.475632886169478e-05,4.4756299757864326e-05,4.475470268516801e-05,4.47562852059491e-05,-0.0,10703.666015625,10703.466796875,10709.5771484375,10703.3583984375,-0.0,18994.1640625,18994.087890625,18957.833984375,18994.09375,6728.68408203125,0.0,0.0,0.0,0.0,0.0,1.7745475769042969,1.774573564529419,1.7701759338378906,1.7745918035507202,9014.0,1000.0,1000.0,1000.0,1000.0,0.0,197366.3125,197363.390625,197281.890625,197362.5,0.0,0.0006374036311171949,0.0006374041549861431,0.0006374182412400842,0.0006374039221554995,0.0,197366.3125,197363.390625,197281.890625,197362.5,0.0,350077.09375,350076.09375,349878.5,350076.5,292515.78125,0.0,0.0,0.0,0.0,789374.0625,0.0025496298912912607,789374.0625,1400108.25,292515.78125
2019-09-17,-0.0,10645.6455078125,10645.46484375,10654.8759765625,10645.3720703125,-0.0,4.4725740735884756e-05,4.472570799407549e-05,4.472413638723083e-05,4.4725693442160264e-05,-0.0,10645.6455078125,10645.46484375,10654.8759765625,10645.3720703125,-0.0,18676.474609375,18676.390625,18638.345703125,18676.380859375,6223.1376953125,0.0,0.0,0.0,0.0,0.0,1.754376769065857,1.7543988227844238,1.7492785453796387,1.75441312789917,9014.0,1000.0,1000.0,1000.0,1000.0,0.0,208011.96875,208008.859375,207936.765625,208007.859375,0.0,0.0006821293500252068,0.000682129873894155,0.0006821423885412514,0.0006821296410635114,0.0,208011.96875,208008.859375,207936.765625,208007.859375,0.0,368753.5625,368752.5,368516.84375,368752.875,298738.9375,0.0,0.0,0.0,0.0,831965.4375,0.002728531137108803,831965.4375,1474775.75,298738.9375
2019-09-18,-0.0,10587.0849609375,10586.91015625,10599.0,10586.81640625,-0.0,4.469296254683286e-05,4.469292252906598e-05,4.469148188945837e-05,4.469290797715075e-05,-0.0,10587.0849609375,10586.91015625,10599.0,10586.81640625,-0.0,18400.259765625,18400.181640625,18361.21875,18400.171875,5751.57958984375,0.0,0.0,0.0,0.0,0.0,1.7379910945892334,1.7380125522613525,1.732353925704956,1.7380268573760986,9014.0,1000.0,1000.0,1000.0,1000.0,0.0,218599.046875,218595.765625,218535.765625,218594.6875,0.0,0.0007268222980201244,0.0007268228218890727,0.0007268338813446462,0.0007268225308507681,0.0,218599.046875,218595.765625,218535.765625,218594.6875,0.0,387153.8125,387152.65625,386878.0625,387153.0625,304490.5,0.0,0.0,0.0,0.0,874325.25,0.0029073015321046114,874325.25,1548337.625,304490.5
2019-09-19,-0.0,10528.205078125,10528.037109375,10542.2412109375,10527.9462890625,-0.0,4.465868551051244e-05,4.465864549274556e-05,4.465740130399354e-05,4.465862366487272e-05,-0.0,10528.205078125,10528.037109375,10542.2412109375,10527.9462890625,-0.0,18157.388671875,18157.3125,18118.12109375,18157.30078125,5312.564453125,0.0,0.0,0.0,0.0,0.0,1.7246423959732056,1.7246626615524292,1.7186214923858643,1.7246763706207275,9014.0,1000.0,1000.0,1000.0,1000.0,0.0,229127.25,229123.796875,229078.0,229122.625,0.0,0.000771481019910425,0.0007714814273640513,0.0007714912644587457,0.0007714811363257468,0.0,229127.25,229123.796875,229078.0,229122.625,0.0,405311.21875,405309.96875,404996.1875,405310.375,309803.0625,0.0,0.0,0.0,0.0,916451.6875,0.003085934789851308,916451.6875,1620927.75,309803.0625
2019-09-20,-0.0,10468.8310546875,10468.671875,10484.4892578125,10468.583984375,-0.0,4.4623266148846596e-05,4.462322249310091e-05,4.462222568690777e-05,4.4623204303206876e-05,-0.0,10468.83203125,10468.671875,10484.4892578125,10468.5849609375,-0.0,17941.55859375,17941.484375,17902.599609375,17941.466796875,4904.44677734375,0.0,0.0,0.0,0.0,0.0,1.713807225227356,1.7138261795043945,1.7075319290161133,1.7138389348983765,9014.0,1000.0,1000.0,1000.0,1000.0,0.0,239596.078125,239592.46875,239562.484375,239591.21875,0.0,0.0008161042351275682,0.0008161047007888556,0.0008161134901456535,0.0008161043515428901,0.0,239596.078125,239592.46875,239562.484375,239591.21875,0.0,423252.75,423251.46875,422898.8125,423251.8125,314707.53125,0.0,0.0,0.0,0.0,958342.25,0.0032644267193973064,958342.25,1692654.875,314707.53125
2019-09-21,-0.0,10408.8369140625,10408.685546875,10425.6865234375,10408.6025390625,-0.0,4.4586879084818065e-05,4.458683542907238e-05,4.458610055735335e-05,4.458681360119954e-05,-0.0,10408.8369140625,10408.685546875,10425.6865234375,10408.6025390625,-0.0,17747.748046875,17747.671875,17709.5078125,17747.65234375,4525.4990234375,0.0,0.0,0.0,0.0,0.0,1.705065369606018,1.7050830125808716,1.6986418962478638,1.705094575881958,9014.0,1000.0,1000.0,1000.0,1000.0,0.0,250004.921875,250001.15625,249988.171875,249999.8125,0.0,0.0008606911287643015,0.000860691478010267,0.0008606996270827949,0.0008606911869719625,0.0,250004.921875,250001.15625,249988.171875,249999.8125,0.0,441000.5,440999.125,440608.3125,440999.46875,319233.03125,0.0,0.0,0.0,0.0,999994.0625,0.003442773362621665,999994.0625,1763607.375,319233.03125
